NumberOfFollowings,NumberOfFollowers,NumberOfTweets,AccountAge,no_userfavourites,no_retweets,no_statuses,spammer
3051,3534,818,905,1.1583087512291053,0.9038674033149172,0.898989898989899,1
12313,12244,16421,967,0.9943961666531308,16.981385729058946,0.51,1
3374,3164,2001,1045,0.9377593360995852,1.9148325358851677,0.0408163265306122,1
1053,491,456,912,0.466286799620133,0.5,0.005,1
2245,2246,4121,965,1.000445434298441,4.270466321243523,0.8359788359788359,1
17866,16330,918,939,0.9140266427851784,0.977635782747604,0.9457831325301204,1
11325,11076,3299,905,0.9780132450331126,3.645303867403315,0.19,1
903,908,91,940,1.0055370985603544,0.0968085106382978,0.2967032967032967,1
876,511,2122,1042,0.5833333333333334,2.036468330134357,0.9183673469387756,1
1830,1623,1228,951,0.8868852459016393,1.2912723449001051,0.0,1
4447,4048,1177,1023,0.910276590960198,1.1505376344086022,0.3455497382198952,1
33928,31295,22928,898,0.9223944824333884,25.53229398663697,0.075,1
1879,1768,1470,883,0.940926024481107,1.6647791619479049,0.0050251256281407,1
7704,7027,1790,950,0.9121235721703012,1.8842105263157896,0.9329608938547486,1
688,551,484,916,0.8008720930232558,0.5283842794759825,0.6071428571428571,1
1837,1829,625,940,0.9956450734893848,0.6648936170212766,0.7788944723618091,1
660,7210,2524,964,10.924242424242424,2.6182572614107884,0.4300518134715025,1
1944,744,224,892,0.382716049382716,0.2511210762331838,0.025,1
1065,791,886,998,0.7427230046948357,0.8877755511022044,1.236180904522613,1
705,206,121,1030,0.2921985815602836,0.1174757281553398,0.4166666666666667,1
1777,901,1152,893,0.5070343275182893,1.29003359462486,0.5685279187817259,1
1444,1092,1806,1078,0.7562326869806094,1.675324675324675,0.5645161290322581,1
10293,9794,1906,862,0.9515204507918004,2.211136890951276,0.525,1
2001,889,91,909,0.4442778610694652,0.1001100110011001,0.7159090909090909,1
5986,7160,376,858,1.1961242900100233,0.4382284382284382,0.5353535353535354,1
3644,3312,3330,992,0.9088913282107574,3.356854838709677,0.4105263157894737,1
1772,819,95,868,0.4621896162528217,0.1094470046082949,0.6842105263157895,1
3549,3225,1688,868,0.9087066779374472,1.944700460829493,0.225,1
16613,17094,1427,1019,1.0289532293986636,1.4003925417075564,0.1015228426395939,1
10691,13605,5243,945,1.2725657094752596,5.548148148148148,0.7513227513227513,1
1917,1052,1106,863,0.548774126238915,1.2815758980301275,0.005,1
805,705,752,875,0.8757763975155279,0.8594285714285714,0.3819095477386934,1
146,64,6,1030,0.4383561643835616,0.0058252427184466,0.0,1
6757,6784,4213,836,1.0039958561491786,5.039473684210527,0.0374331550802139,1
21041,23332,2602,854,1.1088826576683617,3.0468384074941453,0.4591836734693877,1
1749,1006,16381,929,0.5751858204688394,17.632938643702907,0.6173469387755102,1
1896,1159,99,973,0.6112869198312236,0.1017471736896197,0.9347826086956522,1
589,422,966,887,0.7164685908319185,1.0890642615558062,0.0606060606060606,1
20255,19726,4439,926,0.9738829918538632,4.793736501079914,0.795,1
10270,9517,11857,884,0.9266796494644596,13.41289592760181,0.4316939890710382,1
875,740,1382,947,0.8457142857142858,1.4593453009503696,0.195,1
5835,5420,9,935,0.9288774635818338,0.0096256684491978,0.3333333333333333,1
2547,2694,3,831,1.0577149587750294,0.003610108303249,0.3333333333333333,1
9762,8874,5213,859,0.9090350338045482,6.068684516880093,1.317829457364341,1
8189,7444,26752,841,0.9090243008914396,31.80975029726516,4.879396984924624,1
2852,2794,3111,867,0.979663394109397,3.588235294117647,0.9,1
3529,3312,7749,808,0.938509492774157,9.590346534653465,1.0174418604651163,1
1999,945,52,868,0.472736368184092,0.0599078341013824,0.3469387755102041,1
1805,1732,1080,828,0.9595567867036012,1.3043478260869563,0.47,1
1121,561,284,828,0.5004460303300624,0.3429951690821256,0.0100502512562814,1
897,761,1204,946,0.8483835005574136,1.2727272727272727,0.455,1
11631,11326,2729,822,0.9737769753245636,3.3199513381995134,0.7525252525252525,1
1963,1941,941,978,0.9887926642893532,0.9621676891615542,0.07,1
854,868,813,831,1.0163934426229508,0.9783393501805054,0.87,1
2414,2887,709,792,1.195940347970174,0.8952020202020202,0.4324324324324324,1
22121,24910,1154,800,1.1260792911712851,1.4425,0.9408602150537636,1
68782,69108,64812,826,1.004739612107819,78.46489104116223,1.1363636363636365,1
2072,4283,3490,798,2.067084942084942,4.3734335839599,0.7551020408163265,1
1389,2594,5225,994,1.867530597552196,5.2565392354124745,0.4,1
3800,3604,17084,820,0.9484210526315788,20.834146341463416,0.0,1
5352,4938,4015,811,0.922645739910314,4.950678175092478,0.015,1
13002,12073,3791,848,0.9285494539301646,4.470518867924528,0.4619289340101523,1
5644,6444,15559,787,1.1417434443656982,19.770012706480305,0.5958549222797928,1
797,387,50,858,0.4855708908406524,0.0582750582750582,0.0,1
22456,20471,22263,891,0.9116049162807268,24.986531986531983,0.925,1
1326,3185,26308,903,2.4019607843137254,29.133997785160577,0.0203045685279187,1
4748,4589,3890,791,0.9665122156697556,4.917825537294564,0.105,1
12335,11226,9192,835,0.9100932306445076,11.008383233532934,0.7989949748743719,1
53675,58173,2311,777,1.0838006520726595,2.9742599742599745,0.045,1
2292,5081,3265,925,2.216841186736475,3.5297297297297296,0.3204419889502762,1
7282,6620,1025,927,0.9090909090909092,1.10571736785329,0.5477386934673367,1
986,407,49,764,0.4127789046653144,0.0641361256544502,0.0,1
1716,688,7489,908,0.4009324009324009,8.247797356828194,0.2216216216216216,1
19802,19928,16219,823,1.0063629936370064,19.707168894289183,0.0,1
5453,5992,1406,786,1.098844672657253,1.7888040712468194,0.4371859296482412,1
3650,3328,4641,821,0.9117808219178082,5.652862362971986,0.0,1
3426,3116,7,757,0.9095154699357852,0.0092470277410832,0.0,1
12453,11320,19489,857,0.9090179073315668,22.74095682613769,0.0,1
1926,1414,3100,786,0.7341640706126688,3.944020356234097,0.02,1
504,222,1592,940,0.4404761904761904,1.6936170212765955,0.235,1
15899,15673,2122,751,0.985785269513806,2.825565912117177,0.1065989847715736,1
5661,8850,3280,843,1.5633280339162692,3.8908659549228943,0.9489795918367347,1
1894,1302,87,778,0.6874340021119324,0.1118251928020565,0.0813953488372093,1
3105,2852,190,813,0.9185185185185184,0.2337023370233702,0.3191489361702128,1
4529,4674,2320,752,1.0320158975491278,3.0851063829787235,0.0404040404040404,1
20436,20866,603,760,1.0210412996672538,0.7934210526315789,0.205,1
16,7,4,891,0.4375,0.0044893378226711,0.75,1
12486,12952,823,789,1.0373218004164664,1.0430925221799747,0.515,1
12294,11957,20704,840,0.9725882544330569,24.64761904761905,0.0,1
2394,8493,3082,857,3.5476190476190474,3.5962660443407235,0.4723618090452261,1
167,92,130,951,0.5508982035928144,0.1366982124079916,0.2615384615384615,1
1985,258,88,816,0.1299748110831234,0.1078431372549019,0.0,1
1765,629,24,774,0.3563739376770538,0.0310077519379844,0.2916666666666667,1
4020,4373,2415,845,1.0878109452736318,2.857988165680473,0.005,1
4283,10615,85,790,2.478402988559421,0.1075949367088607,0.2195121951219512,1
17778,17682,8583,813,0.9946000674991564,10.55719557195572,0.085,1
1973,1188,572,760,0.6021287379624937,0.7526315789473684,0.315,1
666,618,1297,788,0.927927927927928,1.6459390862944163,0.0,1
14099,12844,32,850,0.910986594793957,0.0376470588235294,0.28125,1
2523,2293,19590,769,0.9088386841062228,25.47464239271781,0.475,1
1614,715,801,791,0.442998760842627,1.0126422250316056,0.0100502512562814,1
1328,509,1249,928,0.3832831325301205,1.3459051724137931,0.6225165562913907,1
34252,39345,2267,753,1.1486920471797268,3.01062416998672,0.7474226804123711,1
668,708,1196,743,1.059880239520958,1.6096904441453566,0.0518134715025906,1
693,2553,17525,900,3.683982683982684,19.47222222222222,0.005,1
195,56,164,846,0.2871794871794871,0.1938534278959811,0.1226993865030674,1
712,5828,97,745,8.185393258426966,0.1302013422818791,0.1134020618556701,1
1700,2011,5040,737,1.1829411764705882,6.8385345997286295,0.0,1
2001,917,260,781,0.4582708645677161,0.3329065300896286,0.065,1
18786,17558,14260,771,0.9346321728947088,18.49546044098573,1.0764331210191085,1
19963,19857,779,887,0.9946901768271302,0.8782412626832018,0.67,1
213,108,102,868,0.5070422535211268,0.1175115207373272,0.8921568627450981,1
240,626,2657,717,2.6083333333333334,3.7057182705718272,0.481283422459893,1
4249,4116,2364,727,0.9686985172981878,3.25171939477304,0.3711340206185567,1
30922,30271,2174,740,0.9789470280059503,2.937837837837838,1.1,1
11449,10413,507,792,0.9095117477508952,0.6401515151515151,1.045,1
1774,8155,79,849,4.59695603156708,0.0930506478209658,0.0256410256410256,1
597,597,850,753,1.0,1.1288180610889775,0.0181818181818181,1
6228,6229,449,788,1.000160565189467,0.5697969543147208,0.53,1
1980,1801,812,742,0.9095959595959596,1.0943396226415094,0.365,1
13181,14242,4042,735,1.0804946513921554,5.499319727891156,0.9375,1
14706,17533,2400,736,1.192234462124303,3.260869565217391,0.3478260869565217,1
1859,1507,206,713,0.8106508875739645,0.2889200561009817,0.2299465240641711,1
38995,38985,30342,904,0.9997435568662648,33.5641592920354,0.005,1
8954,8820,197,723,0.9850346213982578,0.272475795297372,0.1384615384615384,1
10365,9556,1100,821,0.9219488663772312,1.3398294762484777,0.045,1
1095,419,21,715,0.382648401826484,0.0293706293706293,0.2857142857142857,1
16463,15311,570,758,0.930024904330924,0.7519788918205804,0.0923076923076923,1
33024,31810,6994,795,0.9632388565891472,8.79748427672956,0.02,1
24066,21988,706,720,0.9136541178425996,0.9805555555555556,0.3402061855670103,1
6513,6760,5823,811,1.037924151696607,7.180024660912454,2.786324786324786,1
914,1098,184,778,1.201312910284464,0.2365038560411311,0.5290697674418605,1
1102,471,800,915,0.4274047186932849,0.8743169398907104,0.3621621621621622,1
4072,3827,684,718,0.9398330058939096,0.9526462395543176,0.9740932642487048,1
1989,501,2704,756,0.2518853695324283,3.5767195767195767,0.0,1
2001,1716,3041,727,0.8575712143928036,4.182943603851444,0.04,1
1765,1627,324,857,0.9218130311614732,0.3780630105017503,0.0,1
8273,8145,2316,750,0.9845279825939804,3.088,0.2791878172588832,1
19808,18917,490,901,0.9550181744749596,0.5438401775804661,0.435,1
9185,11521,6002,838,1.2543277082199238,7.162291169451074,0.6033057851239669,1
13665,14771,3677,709,1.0809366995975118,5.186177715091678,0.3766233766233766,1
5839,5316,5129,729,0.910429868128104,7.035665294924554,0.0,1
9661,9161,769,774,0.94824552323776,0.9935400516795866,0.05,1
9703,8901,744,720,0.9173451509842316,1.0333333333333334,0.605,1
9281,8456,8429,748,0.9111087167331108,11.268716577540108,0.0050761421319796,1
8941,8972,1296,709,1.0034671736942176,1.827926657263752,0.7959183673469388,1
8452,8693,13824,729,1.028513961192617,18.96296296296296,0.5125628140703518,1
4681,4255,96,722,0.9089938047425764,0.1329639889196676,0.0208333333333333,1
8947,9740,6779,812,1.0886330613613502,8.348522167487685,0.72,1
2001,1284,91,795,0.6416791604197901,0.1144654088050314,0.0777777777777777,1
2088,2186,1146,702,1.0469348659003832,1.6324786324786325,0.0,1
4299,3921,1115,695,0.912072575017446,1.60431654676259,0.0,1
7841,8724,1072,762,1.112613187093483,1.4068241469816274,0.3214285714285714,1
16652,15138,6688,820,0.9090799903915444,8.15609756097561,0.87,1
1089,1719,6139,885,1.578512396694215,6.936723163841808,0.0,1
18740,17651,1462,702,0.941889007470651,2.0826210826210825,0.7676056338028169,1
5042,5756,4516,709,1.1416104720349067,6.369534555712271,0.7927461139896373,1
518,332,293,686,0.640926640926641,0.4271137026239067,0.665,1
1197,1067,2808,862,0.8913951545530493,3.25754060324826,0.5846994535519126,1
7295,7710,1981,701,1.0568882796435914,2.825962910128388,0.48,1
5091,13075,578,684,2.568257709683756,0.8450292397660819,0.36,1
18801,20048,82,680,1.0663262592415297,0.1205882352941176,0.024390243902439,1
1212,268,456,841,0.2211221122112211,0.5422116527942925,0.1457286432160804,1
3846,3716,3557,774,0.9661986479459178,4.595607235142118,0.0,1
15181,15858,4966,736,1.0445952177063436,6.747282608695652,0.9296482412060302,1
16114,68016,875,822,4.220925902941541,1.0644768856447688,0.255,1
11689,11503,1272,872,0.9840876037300026,1.4587155963302751,0.11,1
2518,3515,765,786,1.3959491660047656,0.9732824427480916,1.145,1
11160,10398,1466,843,0.9317204301075268,1.7390272835112692,0.1122448979591836,1
10684,10890,3275,704,1.0192811681018346,4.651988636363637,1.04,1
528,645,6340,696,1.2215909090909092,9.10919540229885,0.1,1
1420,622,670,724,0.4380281690140845,0.925414364640884,0.005,1
5018,4665,2304,825,0.929653248306098,2.792727272727273,0.8315217391304348,1
23344,22389,3237,686,0.9590901302261824,4.71865889212828,0.11,1
5204,4837,8069,801,0.929477325134512,10.073657927590512,0.950920245398773,1
3040,2933,3274,736,0.9648026315789474,4.448369565217392,0.3604651162790697,1
12240,12123,1785,668,0.9904411764705884,2.6721556886227544,0.03,1
21435,19506,13484,673,0.9100069979006298,20.035661218424963,0.0100502512562814,1
1922,967,3130,874,0.5031217481789803,3.581235697940504,0.164021164021164,1
209,77,49,789,0.3684210526315789,0.0621039290240811,0.4897959183673469,1
2781,2540,1386,699,0.9133405249910104,1.9828326180257512,0.005,1
1921,3207,2642,679,1.6694429984383137,3.891016200294551,0.6428571428571429,1
511,655,247,692,1.2818003913894325,0.3569364161849711,0.715,1
3093,6335,950,790,2.048173294536049,1.2025316455696202,1.0454545454545454,1
7099,7252,290,680,1.0215523313142696,0.4264705882352941,0.135,1
5416,5544,1680,838,1.0236336779911377,2.0047732696897373,1.0964467005076142,1
48525,48611,27007,728,1.0017722823286963,37.097527472527474,0.04,1
7578,7052,5788,713,0.930588545790446,8.11781206171108,0.48,1
2001,1719,2123,671,0.8590704647676162,3.1639344262295084,0.0,1
2739,2789,6083,691,1.018254837531946,8.803183791606367,0.7688442211055276,1
29005,27303,273,755,0.9413204619893122,0.3615894039735099,0.005,1
774,782,164,663,1.0103359173126616,0.2473604826546003,0.2208588957055214,1
503,219,100,850,0.4353876739562624,0.1176470588235294,0.55,1
1127,551,212,688,0.4889086069210293,0.3081395348837209,0.1608040201005025,1
1829,1611,472,678,0.8808091853471842,0.696165191740413,0.0050251256281407,1
11894,12474,1892,714,1.0487640827307887,2.649859943977591,0.1155778894472361,1
746,5880,1049,718,7.882037533512064,1.4610027855153205,0.1032608695652173,1
207,69,222,784,0.3333333333333333,0.2831632653061224,0.1508379888268156,1
1999,934,1104,735,0.4672336168084042,1.5020408163265306,0.0,1
1156,683,532,784,0.5908304498269896,0.6785714285714286,0.1692307692307692,1
3589,4161,10902,770,1.1593758707160768,14.158441558441558,0.7616580310880829,1
3917,3643,963,666,0.9300485065100842,1.445945945945946,0.095,1
1998,1660,708,671,0.8308308308308309,1.0551415797317436,0.6984924623115578,1
425,253,415,837,0.5952941176470589,0.4958183990442055,0.1379310344827586,1
9048,9039,4,682,0.9990053050397878,0.0058651026392961,0.0,1
1965,862,73,696,0.438676844783715,0.1048850574712643,0.0,1
41544,40502,4422,653,0.9749181590602736,6.771822358346095,0.841025641025641,1
8680,9660,4405,832,1.1129032258064515,5.294471153846154,0.3099415204678362,1
6115,6409,6169,774,1.048078495502862,7.970284237726098,1.0115606936416186,1
7410,6949,880,655,0.93778677462888,1.3435114503816794,0.2964824120603015,1
1241,890,43,673,0.717163577759871,0.0638930163447251,0.0,1
16784,15259,2426,767,0.9091396568160152,3.162972620599739,0.3434343434343434,1
163,431,1061,661,2.644171779141104,1.605143721633888,0.465,1
18426,20269,13905,712,1.1000217084554431,19.52949438202247,0.005,1
9143,10177,190,794,1.1130919829377666,0.2392947103274559,1.893617021276596,1
1181,940,981,696,0.7959356477561389,1.4094827586206895,0.04,1
525,155,20,809,0.2952380952380952,0.0247218788627935,0.25,1
8071,7425,5272,655,0.9199603518770908,8.048854961832062,1.245,1
5355,5642,491,688,1.05359477124183,0.7136627906976745,0.4120603015075377,1
211,917,854,786,4.345971563981043,1.0865139949109417,0.665,1
8664,9067,4337,775,1.0465143120960296,5.596129032258064,0.05,1
15237,14284,3902,667,0.937454879569469,5.8500749625187405,0.5266272189349113,1
10324,9858,1465,669,0.9548624564122432,2.1898355754858,0.673469387755102,1
15529,16729,1751,666,1.0772747762251271,2.629129129129129,1.045,1
3808,3558,2265,831,0.9343487394957984,2.7256317689530687,0.03,1
2125,1982,1830,833,0.9327058823529412,2.1968787515006003,0.96,1
3382,8113,259,649,2.398876404494382,0.399075500770416,0.045,1
8729,7941,1225,653,0.9097262000229122,1.875957120980092,0.2769230769230769,1
9089,8690,1187,727,0.9561007811640444,1.6327372764786796,0.2169312169312169,1
657,431,54,692,0.6560121765601218,0.0780346820809248,0.1666666666666666,1
93,15,9,644,0.1612903225806451,0.0139751552795031,0.0,1
14776,24169,18107,674,1.635693015701137,26.864985163204743,0.8756476683937824,1
1329,846,169,644,0.636568848758465,0.2624223602484472,0.3136094674556213,1
12439,12090,8931,679,0.9719430822413376,13.153166421207658,0.9146341463414634,1
2298,2361,437,800,1.0274151436031331,0.54625,1.106060606060606,1
3526,3341,1060,749,0.9475326148610324,1.4152202937249667,0.3636363636363636,1
103,81,345,824,0.7864077669902912,0.4186893203883495,0.1445086705202312,1
12751,12523,3466,640,0.9821190494863148,5.415625,1.3950617283950617,1
8131,14215,734,635,1.7482474480383716,1.1559055118110235,0.105,1
462,258,345,651,0.5584415584415584,0.5299539170506913,0.4773869346733668,1
3580,3255,700,664,0.909217877094972,1.0542168674698795,1.2617801047120418,1
10790,10686,873,766,0.9903614457831326,1.139686684073107,0.8978102189781022,1
1994,1363,3128,636,0.6835506519558676,4.918238993710692,0.4912280701754385,1
1759,1637,819,775,0.9306424104604888,1.0567741935483872,0.0552763819095477,1
16288,14965,16228,645,0.918774557956778,25.15968992248062,0.25,1
711,287,8,631,0.4036568213783403,0.0126782884310618,0.0,1
1821,1393,380,686,0.7649643053267435,0.5539358600583091,0.3567839195979899,1
985,1399,114,648,1.4203045685279188,0.1759259259259259,0.375,1
14481,14238,104,673,0.983219390926041,0.1545319465081723,0.6082474226804123,1
2267,2264,316,765,0.9986766651962946,0.4130718954248366,0.185,1
1569,1553,933,804,0.9898024219247928,1.1604477611940298,0.885,1
477,122,21,663,0.2557651991614256,0.0316742081447963,0.2857142857142857,1
2473,2620,1208,760,1.059441973311767,1.5894736842105264,0.4874371859296482,1
1446,948,135,638,0.6556016597510373,0.2115987460815047,0.5968992248062015,1
2701,2688,140,629,0.9951869677897076,0.2225755166931637,0.8214285714285714,1
9558,8690,824,661,0.9091860221803724,1.2465960665658091,0.69,1
34440,36584,1412,782,1.062253193960511,1.805626598465473,0.3966480446927374,1
827,729,268,647,0.8814993954050786,0.4142194744976816,0.0876288659793814,1
1402,793,230,790,0.5656205420827389,0.2911392405063291,0.0,1
272,90,35,670,0.3308823529411764,0.0522388059701492,0.0571428571428571,1
2721,3201,375,625,1.1764057331863285,0.6,0.303030303030303,1
12095,11088,4377,641,0.9167424555601488,6.828393135725429,1.435,1
68111,64817,15208,778,0.9516377677614484,19.547557840616967,0.955,1
2635,2451,260,657,0.9301707779886148,0.395738203957382,0.1382978723404255,1
10232,9307,595,628,0.9095973416731822,0.947452229299363,0.8556701030927835,1
2001,1744,5731,709,0.8715642178910544,8.083215796897038,0.06,1
5531,5025,383,673,0.9085156391249322,0.5690936106983655,0.055,1
1253,709,14,703,0.5658419792498005,0.0199146514935988,0.0,1
1203,146,3,696,0.1213632585203657,0.0043103448275862,0.0,1
54579,52016,13644,734,0.9530405467304276,18.588555858310627,0.4093567251461988,1
2000,1566,87,682,0.783,0.127565982404692,0.0602409638554216,1
2039,1853,46,791,0.908778813143698,0.0581542351453855,0.0444444444444444,1
6533,6261,1728,643,0.9583652227154448,2.687402799377916,0.1472081218274111,1
2314,2352,703,725,1.0164217804667244,0.9696551724137932,0.7068062827225131,1
3710,3879,3369,621,1.0455525606469005,5.42512077294686,0.6030927835051546,1
5126,5586,219,641,1.0897385875926648,0.3416536661466459,0.445,1
1850,1691,115,635,0.914054054054054,0.1811023622047244,0.017391304347826,1
4001,3790,7298,727,0.9472631842039492,10.038514442916094,0.05,1
6091,5763,274,642,0.9461500574618288,0.4267912772585669,0.21,1
1134,2442,1014,625,2.153439153439153,1.6224,0.26,1
95035,96681,10560,783,1.0173199347608777,13.486590038314176,0.78,1
5355,25234,3991,651,4.712231559290383,6.130568356374808,0.815,1
641,515,1765,645,0.8034321372854915,2.736434108527132,0.0,1
2602,2444,1252,770,0.9392774788624136,1.625974025974026,0.14,1
31944,36286,18605,655,1.1359253693964435,28.404580152671755,0.88,1
306,41,300,742,0.1339869281045751,0.4043126684636118,0.2864321608040201,1
22814,22233,31435,772,0.9745331813798545,40.718911917098445,3.333333333333333,1
13733,12501,386,627,0.9102890846865216,0.6156299840510366,0.62,1
5320,4888,4664,630,0.9187969924812032,7.4031746031746035,0.6482412060301508,1
710,274,307,652,0.3859154929577464,0.4708588957055215,0.7939698492462312,1
15677,30225,565,618,1.9279836703450917,0.9142394822006472,0.835,1
13275,12133,940,648,0.9139736346516008,1.4506172839506173,0.3131313131313131,1
26150,23853,4700,818,0.9121606118546846,5.745721271393643,1.0252525252525253,1
13123,13133,5370,622,1.0007620208793722,8.633440514469454,0.7989949748743719,1
7481,7436,1355,659,0.9939847613955354,2.056145675265554,0.819672131147541,1
839,584,85,650,0.6960667461263409,0.1307692307692307,0.125,1
604,266,190,677,0.4403973509933774,0.2806499261447562,0.3157894736842105,1
882,126,11,708,0.1428571428571428,0.0155367231638418,0.3636363636363636,1
1160,680,92,633,0.5862068965517241,0.1453396524486571,0.0217391304347826,1
4739,4315,14148,671,0.91052964760498,21.0849478390462,0.0,1
10422,10630,1656,656,1.0199577816158127,2.524390243902439,0.025,1
24478,32611,2041,634,1.332257537380505,3.219242902208202,1.025,1
8438,7688,840,615,0.911116378288694,1.3658536585365857,0.725,1
2001,600,18909,623,0.2998500749625187,30.351524879614768,0.0,1
431,350,902,721,0.8120649651972158,1.2510402219140084,1.265,1
3283,3309,13096,636,1.0079195857447456,20.59119496855346,0.826530612244898,1
2738,2491,418,725,0.9097881665449232,0.576551724137931,0.0734463276836158,1
1559,2409,1556,769,1.5452212957023732,2.023407022106632,0.005050505050505,1
5495,9573,2423,636,1.7421292083712463,3.809748427672956,0.0862944162436548,1
4708,4714,1342,656,1.0012744265080713,2.0457317073170733,0.4153846153846154,1
846,262,780,787,0.309692671394799,0.9911054637865312,0.0452261306532663,1
1342,1246,1124,713,0.9284649776453056,1.576437587657784,0.03,1
17806,19223,839,751,1.07957991688195,1.1171770972037285,0.3,1
351,88,104,616,0.2507122507122507,0.1688311688311688,0.6862745098039216,1
4733,4302,469,638,0.9089372491020494,0.7351097178683386,1.015228426395939,1
1002,748,1401,665,0.7465069860279441,2.1067669172932333,0.91,1
49,21,256,779,0.4285714285714285,0.3286264441591784,0.63,1
